text,category
run the bench-classify benchmark,run_command
execute the pack-starter to rebuild starter.nanobyte,run_command
run clippy and fix any warnings,run_command
cargo build with the serve feature,run_command
run the retrain-starters binary,run_command
execute the train-intent script,run_command
run kova bridge claude,run_command
cargo check and show me the errors,run_command
run the integration test suite,run_command
execute the export-tele script,run_command
run git diff to see what changed,run_command
build and run the demo,run_command
cargo fmt and then check,run_command
where is the bridge function defined,search_code
find all places that call global_db,search_code
which file has the nanobyte manifest parser,search_code
search for uses of sled_path,search_code
where does the REPL log telemetry,search_code
find the definition of f395,search_code
which files import the priority module,search_code
where is strip_ansi called,search_code
find all the unsafe blocks in the codebase,search_code
search for the STARTER_CLASS_NAMES constant,search_code
where are the candle tensor ops in the trainer,search_code
find files that use the banking77 dataset,search_code
which test uses the tempfile crate,search_code
where is the compression map documented,search_code
find all TODO comments in the codebase,search_code
what's the current state of the project,project_info
show me what changed since the last commit,project_info
what tests are passing,project_info
summarize what bridge.rs does,project_info
what is the work queue,project_info
how many models are in starter.nanobyte,project_info
what features are enabled in the serve build,project_info
give me a status update on the nanobyte format,project_info
what is the compression map,project_info
show me the recent git log,project_info
what is the current version of the kova engine,project_info
how large is the starter.nanobyte file,project_info
what crates does kova depend on,project_info
which subcommands does kova expose,project_info
what's left before the first release,project_info
